_recordId,prolific_id,age,country,gender,education,considered_CS,carried_out_CS_activities,extraversion_enthusiastic,critical_quarrelsome,dependable_self-disciplined,anxious_easily_upset,openness_to_experiences,reserved_quiet,sympathetic_warm,disorganized_careless,calm_emotionally_stable,conventional_uncreative,philosophy1,philosophy2,philosophy3,philosophy4,philosophy5,philosophy6,philosophy7,philosophy8,philosophy9,philosophy10,philosophy11,philosophy12,philosophy13,philosophy14,philosophy15,philosophy16,philosophy17,philosophy18,philosophy19,philosophy20,philosophy21,philosophy22,philosophy23,philosophy24,philosophy25,philosophy26,philosophy27,philosophy28,philosophy29,philosophy30,philosophy31,philosophy32,philosophy33,philosophy34,philosophy35,QID139_17,authority_edu,social_proof_edu,appeal_finances_edu,awareness_words_edu,semantic_repetition_priming_edu,appeal_to_common_sense,flattery_edu,hypocrisy_induction_edu,scarcity_edu,device_rhetorical_question_edu,device_hypophora_edu,semantic_repetition_edu,device_epistrophe,device_anaphora_edu,device_antanagoge_edu,Illusion_of_superiority_edu,appeal_finances_cs,awareness_words_cs,authority_cs,social_proof_cs,QID161_TEXT,QID141_TEXT,SC_6X9hnx1aa222uxf
R_239mQzvCePKHHqn,5de77dcd7da01d6f051f6bff,29,Great Britain,Female,High School,No,Yes and it made me MORE interested in the subject,Disagree a little,Disagree a little,Disagree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Disagree strongly,Agree Strongly,"Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,"Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,"Agree Slightly					","Neutral					",7,4,5,3,6,6,4,5,5,5,6,5,6,7,5,3,5,6,7,8,5,,5de77dcd7da01d6f051f6bff,83
R_2QVUrwk9GpAYwOK,5eb3d115f625d51bb122a0d4,22,Portugal,Female,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,"Agree Slightly					","Disagree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					",6,7,5,3,7,2,5,4,3,4,4,4,3,4,5,3,5,5,6,7,7,I really think that a friendly and close approach is more effective when it comes to convince people that they should study computer science or other things. and of course the statistics and data are very important too!,,198
R_1EcGeXAudJGYQzS,5ee7a9e8e0191705ce2ad89c,20,Portugal,Male,High School,Yes,Yes and it didn’t change my mind about the subject,Disagree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Disagree moderately,Agree a little,Disagree strongly,Disagree moderately,Agree strongly,"Agree Slightly					","Neutral					",Agree Strongly,"Agree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,Agree Strongly,"Neutral					",Agree Strongly,"Agree Slightly					","Disagree Slightly					",Agree Strongly,Agree Strongly,Agree Strongly,"Agree Slightly					","Disagree Slightly					",Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,"Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,"Agree Slightly					",Agree Strongly,7,6,7,5,8,7,5,7,8,10,6,7,9,6,9,6,5,6,7,7,4,,https://app.prolific.co/submissions/complete?cc=12DFEA33,140
R_3HUKnKJmtbQCXcc,5e9164556f1e674a37da0b79,40,Portugal,Male,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,"Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,8,6,10,7,8,7,8,9,8,8,7,8,8,8,8,9,9,9,8,9,9,well done study,,173
R_Aagcan2u04SaJ4R,5eee3a22ddae2c2b35f2f548,26,Great Britain,Female,Bachelors Degree,No,Yes and it made me LESS interested in the subject,Agree a little,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree Strongly,"Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					","Neutral					",Agree Strongly,"Agree Slightly					",Agree Strongly,Agree Strongly,Disagree Very Much,"Disagree Slightly					","Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Neutral					","Agree Slightly					",Agree Strongly,Agree Strongly,"Neutral					","Neutral					","Disagree Slightly					","Neutral					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					",7,5,5,8,8,6,4,5,6,4,7,3,6,8,6,5,7,9,10,7,6,"I found the layout and tool bar clear and easy to use. I also thought that Galileo was a graphic that was relevant to the topic while also not being distracting to the user.
My only suggestion is that on a laptop/desktop screen, the colours where the text is in the box by Galileo does not have much of a contrast which could make people with eye sight problems a little harder to read the question if they are unable to adjust their screen positioning on contrast. ",,98
R_29oXZLx3ALj1uQO,5b09360c2971540001e3e248,40,Great Britain,Male,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Disagree a little,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Agree strongly,Agree strongly,Disagree moderately,Agree a little,Neither agree nor disagree,"Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					",9,7,9,7,7,8,7,6,10,7,8,6,5,7,8,5,7,7,10,8,5,I' like Galileo to provide real life examples of possible start salary after achieving a degree in a Computer Science. I think it'd be more appealing.,,128
R_2TSLL32OtUDm49m,5e5692f27015a60401e6c24b,30,Poland,Male,Ph.D. or higher,Yes,Yes and it made me MORE interested in the subject,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree a little,Disagree strongly,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					",Disagree Very Much,"Agree Slightly					",Agree Strongly,"Neutral					",Disagree Very Much,Agree Strongly,Agree Strongly,Agree Strongly,"Agree Slightly					","Neutral					",Disagree Very Much,"Neutral					",Disagree Very Much,"Agree Slightly					","Neutral					","Neutral					","Agree Slightly					","Disagree Slightly					",Agree Strongly,"Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					",Agree Strongly,"Agree Slightly					",8,6,4,9,6,4,7,5,9,4,6,5,2,5,7,4,9,9,7,10,10,n/a,,177
R_3R95mcFITQn49rT,5d3f10e626d3fe0018148dcf,22,Poland,Male,High School,Yes,Yes and it didn’t change my mind about the subject,Disagree strongly,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,"Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Neutral					","Neutral					","Agree Slightly					","Neutral					","Disagree Slightly					","Neutral					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					","Disagree Slightly					","Neutral					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Neutral					",Agree Strongly,Agree Strongly,"Agree Slightly					",5,6,7,2,2,2,1,3,2,2,1,3,2,2,3,2,3,7,5,7,8,,,168
R_3KBm4rTRtNVkGSN,5d056e69bea2b400180b2aa3,21,Portugal,Male,Bachelors Degree,No,Yes and it didn’t change my mind about the subject,Disagree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree a little,"Agree Slightly					",Disagree Very Much,"Neutral					","Neutral					","Neutral					","Disagree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Neutral					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Neutral					",4,7,7,5,9,8,5,4,8,9,3,4,6,5,4,2,1,5,9,9,9,,,184
R_3k1jzkzVtHdyUjc,5eea1aca2ad8e70be97bbc8d,20,Poland,Male,High School,Yes,Yes and it made me MORE interested in the subject,Neither agree nor disagree,Agree moderately,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,"Disagree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					",Disagree Very Much,Agree Strongly,"Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Neutral					",Disagree Very Much,Agree Strongly,"Disagree Slightly					","Disagree Slightly					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					",Disagree Very Much,"Agree Slightly					","Agree Slightly					",8,5,7,5,10,4,2,5,10,9,10,7,4,2,10,1,5,1,10,8,3,,,181
R_06smaRyKjEzCk9P,5c924468a5c1db00144f7fcb,35,Great Britain,Male,High School,Yes,Yes and it made me MORE interested in the subject,Disagree a little,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Disagree moderately,"Agree Slightly					",Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Neutral					",Agree Strongly,Disagree Very Much,"Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,Agree Strongly,"Disagree Slightly					","Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",2,7,7,2,6,2,7,3,6,7,5,3,7,7,7,6,7,8,7,7,8,Change the colour of the text so people can read it better.,,115
R_3smf65D2PN2PaTS,5e8f32cb79a8e80727d489a3,20,Poland,Male,High School,Yes,Yes and it didn’t change my mind about the subject,Agree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,"Agree Slightly					",Disagree Very Much,"Neutral					","Agree Slightly					","Neutral					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Agree Slightly					","Neutral					","Disagree Slightly					","Disagree Slightly					","Neutral					","Agree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,"Agree Slightly					","Agree Slightly					","Agree Slightly					",Agree Strongly,Agree Strongly,"Agree Slightly					","Neutral					",6,5,7,4,5,3,7,8,7,8,8,7,5,6,6,5,7,4,5,3,5,"In my opinion, everything was fine",https://app.prolific.co/submissions/complete?cc=12DFEA33,166
R_C1awwpokVg4jf1f,5e918b17581be04b3e174b6a,22,Portugal,Female,Bachelors Degree,Yes,Yes and it made me MORE interested in the subject,Disagree a little,Agree a little,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree strongly,"Agree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Neutral					",Disagree Very Much,"Agree Slightly					","Neutral					","Agree Slightly					",Disagree Very Much,Agree Strongly,"Disagree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Agree Slightly					","Agree Slightly					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Neutral					","Agree Slightly					","Neutral					","Agree Slightly					","Agree Slightly					","Neutral					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Agree Slightly					","Agree Slightly					","Agree Slightly					",7,5,10,6,7,8,7,9,10,10,8,5,1,6,9,10,5,5,8,7,6,,,184
R_QiTmS6B37SRUSeB,5d00d7e1a6d3c500194518f5,35,Netherlands,Female,Bachelors Degree,No,Yes and it didn’t change my mind about the subject,Disagree a little,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree a little,"Neutral					",Agree Strongly,Agree Strongly,"Neutral					",Agree Strongly,"Disagree Slightly					","Agree Slightly					","Disagree Slightly					",Disagree Very Much,"Disagree Slightly					","Neutral					","Agree Slightly					",Disagree Very Much,Disagree Very Much,"Disagree Slightly					","Disagree Slightly					",Disagree Very Much,"Agree Slightly					","Disagree Slightly					","Neutral					","Disagree Slightly					","Neutral					","Neutral					",Disagree Very Much,"Disagree Slightly					","Neutral					","Neutral					","Disagree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					","Agree Slightly					","Disagree Slightly					","Disagree Slightly					","Agree Slightly					",8,6,9,7,5,5,7,6,9,2,3,9,7,7,8,4,8,7,5,5,7,,,227
